date,time,cpu,memory,read,write
2012/2/13,0:12:00,0,30,0,0
2012/2/13,0:22:00,0,30,0,0
2012/2/13,0:32:00,0,30,0,0
2012/2/13,0:42:00,0,30,0,0
2012/2/13,0:52:00,0,28,0,0
2012/2/13,1:02:00,0,28,0,0
2012/2/13,1:12:00,0,42,0,0
2012/2/13,1:22:00,0,42,0,0
2012/2/13,1:33:00,0,42,0,0
2012/2/13,1:43:00,0,37,0,0
2012/2/13,1:53:00,0,40,0,0
2012/2/13,2:03:00,0,39,0,100
2012/2/13,2:13:00,0,39,0,0
2012/2/13,2:23:00,0,42,0,0
2012/2/13,2:33:00,0,42,0,0
2012/2/13,2:43:00,0,42,0,0
2012/2/13,2:53:00,0,41,0,0
2012/2/13,3:03:00,0,41,0,0
2012/2/13,3:13:00,0,41,0,0
2012/2/13,3:23:00,0,41,0,0
2012/2/13,3:33:00,0,41,0,0
2012/2/13,3:43:00,0,41,0,0
2012/2/13,3:53:00,0,41,0,0
2012/2/13,4:03:00,0,54,0,0
2012/2/13,4:13:00,0,49,0,0
2012/2/13,4:23:00,0,49,0,0
2012/2/13,4:33:00,0,49,0,0
2012/2/13,4:43:00,0,49,0,0
2012/2/13,4:53:00,0,49,0,0
2012/2/13,5:03:00,0,48,0,0
2012/2/13,5:13:00,0,48,0,0
2012/2/13,5:23:00,0,49,0,0
2012/2/13,5:33:00,0,48,0,0
2012/2/13,5:43:00,0,48,0,0
2012/2/13,5:53:00,0,48,0,0
2012/2/13,6:03:00,0,47,0,0
2012/2/13,6:13:00,0,48,0,0
2012/2/13,6:24:00,0,48,0,0
2012/2/13,6:34:00,0,48,0,0
2012/2/13,6:44:00,0,48,0,0
2012/2/13,6:54:00,0,48,0,0
2012/2/13,7:04:00,0,48,0,0
2012/2/13,7:14:00,0,48,0,0
2012/2/13,7:24:00,0,46,0,0
2012/2/13,7:34:00,0,46,0,0
2012/2/13,7:44:00,0,16,16,16
2012/2/13,7:54:00,0,43,0,0
2012/2/13,8:04:00,0,39,0,0
2012/2/13,8:14:00,0,38,0,0
2012/2/13,8:24:00,0,36,0,0
2012/2/13,8:34:00,0,36,0,0
2012/2/13,8:44:00,0,34,0,0
2012/2/13,8:54:00,0,33,0,0
2012/2/13,9:04:00,0,32,0,0
2012/2/13,9:14:00,4,30,0,0
2012/2/13,9:24:00,0,30,0,0
2012/2/13,9:34:00,0,29,0,0
2012/2/13,9:44:00,0,29,0,0
2012/2/13,9:54:00,0,28,0,0
2012/2/13,10:05:00,0,28,0,0
2012/2/13,10:15:00,2,27,0,0
2012/2/13,10:25:00,0,27,0,0
2012/2/13,10:35:00,74,26,0,0
2012/2/13,10:45:00,0,27,0,0
2012/2/13,10:55:00,0,26,0,0
2012/2/13,11:05:00,0,26,0,0
2012/2/13,11:15:00,0,26,0,0
2012/2/13,11:25:00,0,26,0,0
2012/2/13,11:35:00,0,26,0,0
2012/2/13,11:45:00,0,26,0,0
2012/2/13,11:55:00,0,26,0,0
2012/2/13,12:05:00,0,26,0,0
2012/2/13,12:15:00,0,26,0,0
2012/2/13,12:25:00,0,24,0,0
2012/2/13,12:35:00,0,25,0,100
2012/2/13,12:45:00,0,25,0,0
2012/2/13,12:55:00,0,25,0,0
2012/2/13,13:05:00,0,25,0,0
2012/2/13,13:15:00,4,25,0,0
2012/2/13,13:25:00,0,25,0,0
2012/2/13,13:35:00,0,24,0,0
2012/2/13,13:45:00,0,24,0,0
2012/2/13,13:55:00,0,24,0,0
2012/2/13,14:05:00,8,24,0,0
2012/2/13,14:15:00,0,24,0,0
2012/2/13,14:25:00,0,24,0,0
2012/2/13,14:35:00,0,24,0,0
2012/2/13,14:45:00,0,24,0,0
2012/2/13,14:56:00,0,24,0,0
2012/2/13,15:06:00,0,24,0,0
2012/2/13,15:16:00,0,24,0,0
2012/2/13,15:26:00,0,24,0,0
2012/2/13,15:36:00,0,24,0,0
2012/2/13,15:46:00,0,24,0,0
2012/2/13,15:56:00,0,24,0,0
2012/2/13,16:06:00,0,24,0,0
2012/2/13,16:16:00,4,24,0,0
2012/2/13,16:26:00,0,24,0,0
2012/2/13,16:36:00,0,24,0,0
2012/2/13,16:46:00,0,24,0,0
2012/2/13,16:56:00,2,24,0,0
2012/2/13,17:06:00,0,24,0,0
2012/2/13,17:16:00,0,24,0,0
2012/2/13,17:26:00,0,24,0,0
2012/2/13,17:36:00,0,24,0,0
2012/2/13,17:46:00,0,24,0,0
2012/2/13,17:56:00,0,24,0,0
2012/2/13,18:06:00,0,24,0,0
2012/2/13,18:16:00,0,23,0,0
2012/2/13,18:26:00,0,23,0,0
2012/2/13,18:36:00,0,23,0,0
2012/2/13,18:46:00,0,24,0,0
2012/2/13,18:56:00,0,24,0,0
2012/2/13,19:06:00,0,24,0,0
2012/2/13,19:16:00,0,24,0,0
2012/2/13,19:26:00,0,24,0,0
2012/2/13,19:36:00,0,23,0,0
2012/2/13,19:47:00,0,23,0,0
2012/2/13,19:57:00,0,24,0,0
2012/2/13,20:07:00,0,24,0,0
2012/2/13,20:17:00,0,24,0,0
2012/2/13,20:27:00,0,24,0,0
2012/2/13,20:37:00,0,23,0,0
2012/2/13,20:47:00,0,23,0,0
2012/2/13,20:57:00,0,24,0,0
2012/2/13,21:07:00,0,23,0,0
2012/2/13,21:17:00,0,24,0,0
2012/2/13,21:27:00,2,24,0,0
2012/2/13,21:37:00,0,23,0,0
2012/2/13,21:47:00,0,27,0,0
2012/2/13,21:57:00,0,27,0,0
2012/2/13,22:07:00,0,27,0,0
2012/2/13,22:17:00,0,27,0,0
2012/2/13,22:27:00,0,25,0,0
2012/2/13,22:37:00,0,25,0,0
2012/2/13,22:47:00,0,25,0,0
2012/2/13,22:57:00,0,25,0,0
2012/2/13,23:07:00,0,27,0,0
2012/2/13,23:17:00,0,27,0,0
2012/2/13,23:27:00,0,27,0,0
2012/2/13,23:37:00,0,27,0,0
2012/2/13,23:47:00,0,27,0,0
2012/2/13,23:57:00,0,27,0,0
2012/2/14,0:07:00,0,27,0,0
2012/2/14,0:17:00,0,27,0,0
2012/2/14,0:27:00,0,27,0,0
2012/2/14,0:38:00,0,27,0,0
2012/2/14,0:48:00,0,25,0,0
2012/2/14,0:58:00,0,23,0,0
2012/2/14,1:08:00,0,38,0,0
2012/2/14,1:18:00,2,37,0,0
2012/2/14,1:28:00,0,37,0,0
2012/2/14,1:38:00,0,38,0,0
2012/2/14,1:48:00,0,38,0,0
2012/2/14,1:58:00,0,38,0,0
2012/2/14,2:08:00,0,37,0,0
2012/2/14,2:18:00,0,37,0,0
2012/2/14,2:28:00,0,37,0,0
2012/2/14,2:38:00,0,37,0,0
2012/2/14,2:48:00,0,37,0,0
2012/2/14,2:58:00,0,37,0,0
2012/2/14,3:08:00,0,37,0,0
2012/2/14,3:18:00,0,37,0,0
2012/2/14,3:28:00,2,37,0,0
2012/2/14,3:38:00,0,37,0,0
2012/2/14,3:48:00,0,37,0,0
2012/2/14,3:58:00,0,37,0,0
2012/2/14,4:08:00,0,44,0,0
2012/2/14,4:18:00,0,44,0,0
2012/2/14,4:28:00,0,44,0,0
2012/2/14,4:38:00,0,44,0,0
